#
#
# US Geological Survey, Water Resources Data
# retrieved: 2018-07-09 11:39:00 EDT      (sdww01)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 05464500 Cedar River at Cedar Rapids, IA
#
# Explanation of Parameter Code and ts_id used in the Statistics Data
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		42953
#
#
#5s	15s	5s	3n	4s	12n
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
USGS	05464500	00060	42953	1903	5571
USGS	05464500	00060	42953	1904	2527
USGS	05464500	00060	42953	1905	3127
USGS	05464500	00060	42953	1906	3621
USGS	05464500	00060	42953	1907	4070
USGS	05464500	00060	42953	1908	3419
USGS	05464500	00060	42953	1909	3921
USGS	05464500	00060	42953	1910	2731
USGS	05464500	00060	42953	1911	1248
USGS	05464500	00060	42953	1912	3312
USGS	05464500	00060	42953	1913	2343
USGS	05464500	00060	42953	1914	1681
USGS	05464500	00060	42953	1915	5460
USGS	05464500	00060	42953	1916	4438
USGS	05464500	00060	42953	1917	3066
USGS	05464500	00060	42953	1918	3190
USGS	05464500	00060	42953	1919	4338
USGS	05464500	00060	42953	1920	3430
USGS	05464500	00060	42953	1921	2832
USGS	05464500	00060	42953	1922	2561
USGS	05464500	00060	42953	1923	1555
USGS	05464500	00060	42953	1924	3191
USGS	05464500	00060	42953	1925	1742
USGS	05464500	00060	42953	1926	1891
USGS	05464500	00060	42953	1927	3166
USGS	05464500	00060	42953	1928	3176
USGS	05464500	00060	42953	1929	5215
USGS	05464500	00060	42953	1930	1773
USGS	05464500	00060	42953	1931	795.1
USGS	05464500	00060	42953	1932	3903
USGS	05464500	00060	42953	1933	2613
USGS	05464500	00060	42953	1934	689.4
USGS	05464500	00060	42953	1935	2571
USGS	05464500	00060	42953	1936	2559
USGS	05464500	00060	42953	1937	3340
USGS	05464500	00060	42953	1938	2718
USGS	05464500	00060	42953	1939	2341
USGS	05464500	00060	42953	1940	1143
USGS	05464500	00060	42953	1941	3015
USGS	05464500	00060	42953	1942	5210
USGS	05464500	00060	42953	1943	3635
USGS	05464500	00060	42953	1944	3666
USGS	05464500	00060	42953	1945	4682
USGS	05464500	00060	42953	1946	3568
USGS	05464500	00060	42953	1947	5426
USGS	05464500	00060	42953	1948	2686
USGS	05464500	00060	42953	1949	2369
USGS	05464500	00060	42953	1950	2656
USGS	05464500	00060	42953	1951	6352
USGS	05464500	00060	42953	1952	4020
USGS	05464500	00060	42953	1953	2447
USGS	05464500	00060	42953	1954	2210
USGS	05464500	00060	42953	1955	1830
USGS	05464500	00060	42953	1956	930.7
USGS	05464500	00060	42953	1957	1176
USGS	05464500	00060	42953	1958	1195
USGS	05464500	00060	42953	1959	2589
USGS	05464500	00060	42953	1960	4311
USGS	05464500	00060	42953	1961	3637
USGS	05464500	00060	42953	1962	5053
USGS	05464500	00060	42953	1963	3018
USGS	05464500	00060	42953	1964	1241
USGS	05464500	00060	42953	1965	4908
USGS	05464500	00060	42953	1966	4946
USGS	05464500	00060	42953	1967	2154
USGS	05464500	00060	42953	1968	2437
USGS	05464500	00060	42953	1969	6951
USGS	05464500	00060	42953	1970	2573
USGS	05464500	00060	42953	1971	4769
USGS	05464500	00060	42953	1972	3005
USGS	05464500	00060	42953	1973	8415
USGS	05464500	00060	42953	1974	6396
USGS	05464500	00060	42953	1975	4408
USGS	05464500	00060	42953	1976	2233
USGS	05464500	00060	42953	1977	942.7
USGS	05464500	00060	42953	1978	3768
USGS	05464500	00060	42953	1979	6445
USGS	05464500	00060	42953	1980	4938
USGS	05464500	00060	42953	1981	3610
USGS	05464500	00060	42953	1982	6043
USGS	05464500	00060	42953	1983	9430
USGS	05464500	00060	42953	1984	8219
USGS	05464500	00060	42953	1985	2983
USGS	05464500	00060	42953	1986	5665
USGS	05464500	00060	42953	1987	3770
USGS	05464500	00060	42953	1988	1729
USGS	05464500	00060	42953	1989	996.9
USGS	05464500	00060	42953	1990	4617
USGS	05464500	00060	42953	1991	7230
USGS	05464500	00060	42953	1992	6030
USGS	05464500	00060	42953	1993	15130
USGS	05464500	00060	42953	1994	4722
USGS	05464500	00060	42953	1995	4942
USGS	05464500	00060	42953	1996	2981
USGS	05464500	00060	42953	1997	4746
USGS	05464500	00060	42953	1998	5951
USGS	05464500	00060	42953	1999	8452
USGS	05464500	00060	42953	2000	3753
USGS	05464500	00060	42953	2001	6055
USGS	05464500	00060	42953	2002	2635
USGS	05464500	00060	42953	2003	3134
USGS	05464500	00060	42953	2004	5251
USGS	05464500	00060	42953	2005	4108
USGS	05464500	00060	42953	2006	3815
USGS	05464500	00060	42953	2007	6311
USGS	05464500	00060	42953	2008	11250
USGS	05464500	00060	42953	2009	5401
USGS	05464500	00060	42953	2010	9355
USGS	05464500	00060	42953	2011	6547
USGS	05464500	00060	42953	2012	2050
USGS	05464500	00060	42953	2013	7692
USGS	05464500	00060	42953	2014	5815
USGS	05464500	00060	42953	2015	4717
USGS	05464500	00060	42953	2016	10260
USGS	05464500	00060	42953	2017	8562

